,,Models,,,,,,,,,
date, Actual ,SARIMA,NNTAR,Exp Smoothing,LSTM,SVR,SARIMA-NNTAR,SARIMA-LSTM,ExpSmoothing-LSTM,SARIMA-SVR,ExpSmoothing-SVR
2016-06-30 0:00:00,304,,,,,,,,,,
2016-07-01 0:00:00,277,,,,,,,,,,
2016-07-02 0:00:00,159,,,,,,,,,,
2016-07-03 0:00:00,192,,,,,,,,,,
2016-07-04 0:00:00,484,,,,,,,,,,
2016-07-05 0:00:00,361,,,,,,,,,,
2016-07-06 0:00:00,337,,,,,,,,,,
2016-07-07 0:00:00,310,,,,,,,,,,
2016-07-08 0:00:00,313,,,,,,,,,,
2016-07-09 0:00:00,176,,,,,,,,,,
2016-07-10 0:00:00,165,,,,,,,,,,
2016-07-11 0:00:00,453,,,,,,,,,,
2016-07-12 0:00:00,363,,,,,,,,,,
2016-07-13 0:00:00,308,,,,,,,,,,
2016-07-14 0:00:00,330,,,,,,,,,,
2016-07-15 0:00:00,339,,,,,,,,,,
2016-07-16 0:00:00,172,,,,,,,,,,
2016-07-17 0:00:00,184,,,,,,,,,,
2016-07-18 0:00:00,425,,,,,,,,,,
2016-07-19 0:00:00,371,,,,,,,,,,
2016-07-20 0:00:00,283,,,,,,,,,,
2016-07-21 0:00:00,359,,,,,,,,,,
2016-07-22 0:00:00,279,,,,,,,,,,
2016-07-23 0:00:00,168,,,,,,,,,,
2016-07-24 0:00:00,173,,,,,,,,,,
2016-07-25 0:00:00,424,,,,,,,,,,
2016-07-26 0:00:00,360,,,,,,,,,,
2016-07-27 0:00:00,292,,,,,,,,,,
2016-07-28 0:00:00,276,,,,,,,,,,
2016-07-29 0:00:00,291,,,,,,,,,,
2016-07-30 0:00:00,172,,,,,,,,,,
2016-07-31 0:00:00,147,,,,,,,,,,
2016-08-01 0:00:00,416,,,,,,,,,,
2016-08-02 0:00:00,361,,,,,,,,,,
2016-08-03 0:00:00,308,,,,,,,,,,
2016-08-04 0:00:00,308,,,,,,,,,,
2016-08-05 0:00:00,303,,,,,,,,,,
2016-08-06 0:00:00,174,,,,,,,,,,
2016-08-07 0:00:00,173,,,,,,,,,,
2016-08-08 0:00:00,469,,,,,,,,,,
2016-08-09 0:00:00,330,,,,,,,,,,
2016-08-10 0:00:00,314,,,,,,,,,,
2016-08-11 0:00:00,342,,,,,,,,,,
2016-08-12 0:00:00,277,,,,,,,,,,
2016-08-13 0:00:00,173,,,,,,,,,,
2016-08-14 0:00:00,166,,,,,,,,,,
